iter	Passed	Remaining
405	6305	1459
406	6320	1444
407	6335	1428
408	6352	1413
409	6367	1397
410	6383	1382
411	6398	1366
412	6413	1351
413	6426	1335
414	6442	1319
415	6458	1304
416	6475	1288
417	6492	1273
418	6508	1258
419	6524	1242
420	6540	1227
421	6556	1211
422	6571	1196
423	6586	1180
424	6603	1165
425	6617	1149
426	6633	1134
427	6648	1118
428	6664	1103
429	6682	1087
430	6698	1072
431	6713	1056
432	6727	1040
433	6743	1025
434	6757	1009
435	6774	994
436	6790	978
437	6805	963
438	6821	947
439	6837	932
440	6854	917
441	6870	901
442	6887	886
443	6903	870
444	6919	855
445	6936	839
446	6952	824
447	6968	808
448	6987	793
449	7004	778
450	7018	762
451	7036	747
452	7052	731
453	7068	716
454	7085	700
455	7102	685
456	7118	669
457	7135	654
458	7150	638
459	7166	623
460	7182	607
461	7196	591
462	7213	576
463	7230	561
464	7245	545
465	7260	529
466	7277	514
467	7295	498
468	7311	483
469	7326	467
470	7344	452
471	7360	436
472	7378	421
473	7393	405
474	7407	389
475	7424	374
476	7439	358
477	7456	343
478	7472	327
479	7489	312
480	7505	296
481	7519	280
482	7533	265
483	7547	249
484	7560	233
485	7573	218
486	7587	202
487	7601	186
488	7617	171
489	7631	155
490	7645	140
491	7662	124
492	7677	109
493	7691	93
494	7704	77
495	7719	62
496	7733	46
497	7746	31
498	7761	15
499	7775	0
