iter	Logloss
0	0.687221421
1	0.6814349812
2	0.6758272096
3	0.6703759449
4	0.6649909482
5	0.6597119633
6	0.6545731229
7	0.6495260877
8	0.6445203038
9	0.6398361156
10	0.6352283682
11	0.6306855843
12	0.626182152
13	0.6218498905
14	0.6176214745
15	0.6135238058
16	0.6095137252
17	0.6053943797
18	0.6015795803
19	0.5979172363
20	0.5942639335
21	0.5906770209
22	0.58711907
23	0.5836732592
24	0.5804188009
25	0.5771500845
26	0.5739339014
27	0.5707485279
28	0.5676770574
29	0.5646606155
30	0.5618037243
31	0.5589812191
32	0.5563102144
33	0.5535964304
34	0.5510100139
35	0.5484405529
36	0.5459802391
37	0.5435054894
38	0.541067138
39	0.5386819154
40	0.5364324305
41	0.5341535935
42	0.5319510485
43	0.5298143817
44	0.5277085586
45	0.5257067034
46	0.523790751
47	0.5218615603
48	0.5199475202
49	0.5181621022
50	0.5163016327
51	0.514467856
52	0.5127299653
53	0.5110525794
54	0.5093647101
55	0.5077181308
56	0.5061286672
57	0.5045863111
58	0.5030952966
59	0.5016339085
60	0.5001491813
61	0.4987121911
62	0.4973188352
63	0.4959640707
64	0.4945953035
65	0.4933428302
66	0.4921211936
67	0.4908802496
68	0.489660919
69	0.4884638669
70	0.4872500203
71	0.4861000684
72	0.4849935436
73	0.4838999396
74	0.4828532791
75	0.481814592
76	0.4807695577
77	0.4797387317
78	0.4787985537
79	0.4777734409
80	0.476894339
81	0.4760099816
82	0.4751146868
83	0.474239522
84	0.4734324216
85	0.4725559456
86	0.4717607753
87	0.4710076298
88	0.470232875
89	0.46945913
90	0.46873734
91	0.4679784823
92	0.4672525473
93	0.4665705609
94	0.4658832752
95	0.4652408403
96	0.4645958907
97	0.4639549093
98	0.4632966658
99	0.4627174332
100	0.4620467798
101	0.4614707397
102	0.4608963518
103	0.4603430447
104	0.4597882153
105	0.4592907817
106	0.4587744214
107	0.4582134942
108	0.4577061374
109	0.4572262726
110	0.4567608347
111	0.4562963607
112	0.4557998471
113	0.4553206509
114	0.4548731667
115	0.454457294
116	0.4540316844
117	0.4536093627
118	0.4532099134
119	0.4528000336
120	0.4524209453
121	0.4520385097
122	0.451644447
123	0.4512180648
124	0.4508896364
125	0.4505050911
126	0.4501446821
127	0.4498168229
128	0.4494767993
129	0.4491613246
130	0.4488130781
131	0.4484645899
132	0.4481944369
133	0.4478843843
134	0.4475740946
135	0.4472694357
136	0.4469902344
137	0.4467280569
138	0.446442696
139	0.4461577811
140	0.4459124917
141	0.4456410284
142	0.4454231229
143	0.4451280604
144	0.4448674241
145	0.4446276706
146	0.4444037276
147	0.4441778599
148	0.4439328021
149	0.4437347801
150	0.4434854213
151	0.4432630825
152	0.4430091537
153	0.4428056634
154	0.4426039216
155	0.4423936275
156	0.4421918529
157	0.4419765185
158	0.4417913603
159	0.4416055067
160	0.4414218035
161	0.4412659163
162	0.4410472909
163	0.4408860438
164	0.4406792494
165	0.4405207974
166	0.4403166394
167	0.4401835047
168	0.4400332922
169	0.4399017814
170	0.4397124092
171	0.4395638341
172	0.4394211956
173	0.4392788916
174	0.4391418369
175	0.4389651779
176	0.4388264043
177	0.438667406
178	0.4385197457
179	0.4384022867
180	0.4382491328
181	0.4381207283
182	0.4380000692
183	0.4378627625
184	0.4377563119
