iter	Passed	Remaining
407	5754	8349
408	5768	8334
409	5781	8319
410	5793	8302
411	5808	8290
412	5822	8274
413	5836	8261
414	5852	8249
415	5867	8236
416	5882	8224
417	5896	8210
418	5910	8196
419	5924	8181
420	5939	8168
421	5954	8155
422	5968	8141
423	5984	8129
424	5998	8115
425	6013	8102
426	6026	8086
427	6040	8072
428	6055	8059
429	6069	8045
430	6083	8031
431	6097	8016
432	6110	8002
433	6125	7988
434	6138	7973
435	6153	7959
436	6167	7945
437	6181	7931
438	6195	7917
439	6209	7902
440	6222	7887
441	6236	7873
442	6251	7860
443	6265	7846
444	6280	7833
445	6295	7819
446	6308	7804
447	6323	7791
448	6337	7776
449	6351	7762
450	6365	7748
451	6379	7734
452	6392	7718
453	6406	7704
454	6419	7689
455	6435	7677
456	6451	7665
457	6470	7657
458	6487	7646
459	6503	7634
460	6517	7619
461	6530	7605
462	6544	7590
463	6558	7576
464	6573	7562
465	6587	7548
466	6601	7534
467	6615	7520
468	6629	7506
469	6643	7491
470	6657	7477
471	6671	7463
472	6685	7449
473	6699	7434
474	6713	7419
475	6728	7406
476	6742	7392
477	6756	7378
478	6770	7363
479	6783	7348
480	6796	7333
481	6810	7319
482	6824	7304
483	6837	7290
484	6851	7275
485	6865	7260
486	6878	7246
487	6892	7231
488	6906	7216
489	6919	7202
490	6933	7187
491	6947	7173
492	6961	7159
493	6977	7146
494	6991	7132
495	7006	7119
496	7020	7105
497	7034	7090
498	7047	7075
499	7061	7061
500	7076	7047
501	7091	7035
502	7106	7021
503	7119	7006
504	7133	6991
505	7146	6977
506	7159	6961
507	7172	6946
508	7186	6932
509	7199	6917
510	7212	6901
511	7226	6887
512	7240	6873
513	7254	6859
514	7269	6846
515	7284	6832
516	7298	6818
517	7312	6803
518	7325	6789
519	7339	6775
520	7353	6760
521	7367	6746
522	7380	6730
523	7392	6715
524	7406	6700
525	7421	6687
526	7436	6674
527	7452	6661
528	7466	6647
529	7480	6633
530	7495	6620
531	7510	6606
532	7524	6592
533	7539	6579
534	7554	6565
535	7568	6552
536	7582	6537
537	7595	6522
538	7608	6507
539	7621	6492
540	7635	6478
541	7649	6463
542	7663	6449
543	7675	6434
544	7688	6418
545	7702	6404
546	7716	6390
547	7730	6376
548	7743	6361
549	7756	6346
550	7770	6331
551	7783	6316
552	7796	6302
553	7810	6287
554	7824	6273
555	7838	6259
556	7851	6244
557	7866	6231
558	7881	6218
559	7894	6203
560	7908	6188
561	7922	6174
562	7936	6160
563	7951	6146
564	7965	6132
565	7978	6117
566	7991	6102
567	8005	6088
568	8017	6073
569	8031	6058
570	8044	6044
571	8057	6029
572	8071	6014
573	8084	6000
574	8098	5986
575	8112	5971
576	8126	5957
577	8139	5942
578	8154	5928
579	8167	5914
580	8182	5900
581	8197	5887
582	8212	5873
583	8226	5859
584	8239	5845
585	8255	5832
586	8269	5818
587	8282	5803
588	8295	5788
589	8309	5774
590	8323	5760
591	8336	5745
592	8348	5729
593	8361	5715
594	8375	5700
595	8389	5686
596	8404	5673
597	8420	5660
598	8435	5647
599	8449	5633
600	8462	5618
601	8475	5603
602	8490	5589
603	8504	5575
604	8517	5561
605	8530	5546
606	8544	5532
607	8557	5517
608	8571	5503
609	8584	5488
610	8598	5474
611	8611	5459
612	8626	5445
613	8641	5432
614	8654	5417
615	8669	5404
616	8683	5390
617	8697	5376
618	8710	5361
619	8724	5347
620	8737	5332
621	8750	5317
622	8763	5303
623	8776	5288
624	8791	5274
625	8805	5260
626	8819	5246
627	8832	5231
628	8845	5217
629	8857	5202
630	8870	5187
631	8884	5173
632	8897	5158
633	8910	5143
634	8924	5129
635	8938	5115
636	8952	5101
637	8965	5087
638	8979	5072
639	8992	5058
640	9005	5043
641	9019	5029
642	9032	5014
643	9046	5000
644	9060	4986
645	9074	4972
646	9088	4958
647	9104	4945
648	9120	4932
649	9135	4919
650	9151	4906
651	9165	4891
652	9179	4877
653	9192	4863
654	9205	4848
655	9219	4834
656	9232	4820
657	9247	4806
658	9259	4791
659	9273	4777
660	9286	4762
661	9300	4748
662	9315	4735
663	9329	4720
664	9342	4706
665	9355	4692
666	9368	4677
667	9382	4663
668	9397	4649
669	9412	4635
670	9426	4622
671	9440	4607
672	9455	4594
673	9469	4580
674	9483	4566
675	9497	4551
676	9511	4537
677	9525	4523
678	9538	4509
679	9550	4494
680	9563	4480
681	9577	4465
682	9591	4451
683	9604	4437
684	9617	4422
685	9631	4408
686	9644	4394
687	9659	4380
688	9672	4365
689	9685	4351
690	9698	4337
691	9711	4322
692	9726	4308
693	9738	4293
694	9751	4279
695	9764	4264
696	9778	4250
697	9791	4236
698	9805	4222
699	9818	4207
700	9831	4193
701	9846	4179
702	9860	4165
703	9874	4151
704	9888	4137
705	9901	4123
706	9914	4108
707	9927	4094
708	9939	4079
709	9954	4065
710	9967	4051
711	9980	4037
712	9994	4022
713	10008	4008
714	10021	3994
715	10034	3980
716	10046	3965
717	10061	3951
718	10074	3937
719	10087	3923
720	10101	3909
721	10114	3894
722	10127	3880
723	10141	3866
724	10154	3851
725	10167	3837
726	10180	3823
727	10193	3808
728	10206	3794
729	10220	3780
730	10233	3765
731	10248	3752
732	10262	3738
733	10275	3723
734	10288	3709
735	10301	3694
736	10314	3680
737	10327	3666
738	10341	3652
739	10354	3638
740	10368	3623
741	10383	3610
742	10397	3596
743	10412	3582
744	10425	3568
745	10439	3554
746	10452	3540
747	10465	3525
748	10478	3511
749	10491	3497
750	10504	3482
751	10517	3468
752	10530	3454
753	10542	3439
754	10556	3425
755	10570	3411
756	10584	3397
757	10600	3384
758	10614	3370
759	10627	3356
760	10640	3341
761	10655	3328
762	10669	3314
763	10683	3300
764	10696	3285
765	10709	3271
766	10722	3257
767	10735	3242
768	10748	3228
769	10762	3214
770	10775	3200
771	10788	3186
772	10801	3172
773	10814	3157
774	10828	3143
775	10841	3129
776	10855	3115
777	10868	3101
778	10882	3087
779	10895	3073
780	10908	3058
781	10922	3044
782	10935	3030
783	10949	3016
784	10963	3002
785	10975	2988
786	10989	2974
787	11001	2959
788	11014	2945
789	11027	2931
790	11042	2917
791	11057	2903
792	11071	2890
793	11086	2876
794	11101	2862
795	11116	2848
796	11129	2834
797	11143	2820
798	11157	2806
799	11170	2792
800	11183	2778
801	11196	2764
802	11209	2750
803	11223	2736
804	11237	2722
805	11251	2708
806	11264	2693
807	11277	2679
808	11291	2665
809	11304	2651
810	11318	2637
811	11330	2623
812	11343	2609
813	11357	2595
814	11372	2581
815	11387	2567
816	11403	2554
817	11417	2540
818	11431	2526
819	11445	2512
820	11459	2498
821	11473	2484
822	11487	2470
823	11500	2456
824	11512	2442
825	11527	2428
826	11540	2414
827	11553	2400
828	11566	2385
829	11579	2371
830	11591	2357
831	11605	2343
832	11618	2329
833	11631	2315
834	11644	2301
835	11657	2286
836	11671	2273
837	11685	2259
838	11700	2245
839	11713	2231
840	11727	2217
841	11741	2203
842	11754	2189
843	11768	2175
844	11781	2161
845	11794	2146
846	11807	2132
847	11820	2118
848	11835	2105
849	11849	2091
850	11863	2077
851	11877	2063
852	11891	2049
853	11905	2035
854	11918	2021
855	11931	2007
856	11945	1993
857	11958	1979
858	11972	1965
859	11985	1951
860	11998	1937
861	12011	1922
862	12024	1908
863	12038	1894
864	12051	1880
865	12065	1866
866	12078	1852
867	12091	1838
868	12104	1824
869	12118	1810
870	12130	1796
871	12143	1782
872	12156	1768
873	12169	1754
874	12183	1740
875	12196	1726
876	12208	1712
877	12222	1698
878	12237	1684
879	12251	1670
880	12265	1656
881	12278	1642
882	12291	1628
883	12304	1614
884	12318	1600
885	12331	1586
886	12345	1572
887	12358	1558
888	12372	1544
889	12386	1530
890	12399	1516
891	12413	1502
892	12426	1488
893	12440	1475
894	12452	1460
895	12465	1446
896	12479	1433
897	12492	1418
898	12506	1405
899	12520	1391
900	12534	1377
901	12548	1363
902	12562	1349
903	12576	1335
904	12591	1321
905	12605	1307
906	12619	1293
907	12634	1280
908	12650	1266
909	12667	1252
910	12683	1239
911	12699	1225
912	12715	1211
913	12729	1197
914	12741	1183
915	12755	1169
916	12769	1155
917	12782	1141
918	12796	1127
919	12809	1113
920	12822	1099
921	12834	1085
922	12847	1071
923	12861	1057
924	12875	1043
925	12888	1029
926	12901	1015
927	12913	1001
928	12927	988
929	12941	974
930	12954	960
931	12967	946
932	12980	932
933	12993	918
934	13006	904
935	13020	890
936	13035	876
937	13049	862
938	13062	848
939	13075	834
940	13088	820
941	13101	806
942	13115	792
943	13128	778
944	13141	764
945	13155	750
